State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Ladakh,21.0,92.19932153526845,3845.3902115327055,84.64327383228867,21.0,91.40609396993611,5.0,3.1947206855716472,0.0,10.827478890186686,4143.476789764455,2.5,4268.3584035881195,86.3536516352791,60.81940442212693,98.43447894001558,157.42301134529893,88.71124450724818
Bihar,65750.6966051304,66.1,69005.38906230924,86.28970125948872,130706.13940627035,76.95139703067179,5013.556313173585,4.1485691426660365,4290.993149837488,5.274644445038084,6310.6539842892535,5.9648884826805215,2213.3256769450586,49.59898939116319,728.1927842022308,20.50093271228089,1658.5276247399743,34.405692169746764
Nagaland,7321.076792568995,81.99317794048075,5949.382213313964,93.35925741054872,21.0,83.91365013945229,1138.9244719785652,5.319051809622907,494.24417446050825,8.071724825018103,5.0,4.72282837714084,4.0,49.272225610790514,125.82594380191864,10.135010812692462,524.7880821410726,44.42724241649376
Dadra and Nagar Haveli and Daman and Diu,21.0,99.2,2.0,99.52342025955156,8262.557979443756,99.2,709.3982367783634,6.525366232407535,443.663462000249,3.776769058190639,5.0,5.707984160899344,4.0,83.34096454702366,542.342114782302,67.46416135426512,95.3951428705193,81.0318801714734
Chhattisgarh,58420.817936069,91.62410212447749,13192.301421938548,87.9876910910985,35113.52602780247,91.1727530992953,3108.8134019813992,8.30457485075168,986.0624060234027,7.558368769621508,417.1083508026113,8.698185074214656,2679.9843928014957,47.47073759652238,0.0,27.15909496860088,836.5288302798681,46.60608845623136
Himachal Pradesh,21.0,99.2,2.0,96.45599878561252,21.0,98.31903974011878,2816.1615352883073,9.974846659768533,0.0,5.390456026734363,5383.840869335964,9.024520417789324,4.0,76.31942561323334,0.0,78.00418191996889,3738.45033572141,76.16725790768928
Dadra and Nagar Haveli and Daman and Diu,21.0,99.2,11481.522725767463,97.91710617547035,1346.8586220158672,99.2,5000.710671607729,8.069837518863018,0.0,5.002776687337145,88.2896580055232,6.39432005106285,198.08293299152984,83.07679795322039,0.0,67.44838350832029,1684.377308202002,83.32009492809715
West Bengal,117275.58026102629,94.10190607134105,2.0,82.85986609949563,102961.53538878863,93.19860671852243,9807.308693990815,13.402723940372963,84.18096075725566,14.68040416109865,17373.53491998278,14.010162492288186,9161.939772532125,73.59006717087516,646.9367152719692,78.11193190550361,10250.269418475078,77.5586815833816
Arunachal Pradesh,21.0,79.06247717717946,9391.307889679965,51.16475480738174,21.0,78.25574816462013,954.4561515146519,3.2327699940049035,305.7148099479193,0.6327951816689484,179.38062276488813,2.828929721100773,41.14581509810979,46.8261784798138,,,958.4020390054505,46.51394049973361
Kerala,42858.90451707211,95.04533006088376,3093.142638542925,89.45323799446665,105882.32093812378,93.67586129314383,2738.9004288007204,31.91755453530552,1455.7118675660035,29.290296124364733,8274.137122928625,31.64226639483266,5041.98762214853,63.5064960177758,766.9795968845201,59.20334594354786,6202.589969097949,64.75213813312195
India,1707030.0,93.09806767106109,507110.1444041395,89.64397771649766,2194523.6233240166,90.32256858458402,141716.45640935554,9.51670249510516,30564.0,5.082206582391573,163963.12056856084,7.711786246625386,92270.48500032791,65.8784218630943,16161.0,54.64428389513496,110058.0,63.7639163321086
Dadra and Nagar Haveli and Daman and Diu,21.0,97.59366046331331,16488.21283572487,98.74691303528799,21.0,97.94227818718544,633.6220747229432,6.151728105175428,859.3240745285225,3.9618979485705204,5.0,6.4398577246573,4.0,83.82279062279069,0.0,68.08042243851415,4.0,82.86163634552547
Tamil Nadu,81990.67050691681,96.76131773715954,22065.05084175735,91.20475736816155,120419.98460007223,95.88890438098608,18245.149309152097,26.775650053145213,3355.402691653347,23.369344367891106,28141.008688285223,26.412715234163187,16427.720416279863,95.0645333054988,3278.108851587579,87.26157794264456,21918.055931162704,94.8038956771991
Chandigarh,21.0,94.32533930683637,674.3634830116777,75.3388400683877,21.0,96.04507323192605,5.0,8.81639256691734,0.0,9.912740688597806,5.0,6.8430154675536485,1013.0705640878955,75.3813798919331,0.0,100.0,2301.28763908762,82.88953904941792
Delhi,48806.2420555142,84.32499678384413,4989.19917468915,55.788563774563826,94558.1927971342,79.31593408507823,7983.539428872626,7.853670470559277,338.8051635598938,13.066487523329116,5.0,8.917986974274823,1022.0511490543893,51.48473821141685,285.68412280547216,24.86407075612466,2669.221790202056,48.61371258468654
Maharashtra,154125.78202318324,96.54639532240122,64296.91700432896,96.68932744810148,237414.72490840204,96.61123538271683,10734.764480642694,6.976238132121939,4060.227712683204,6.888308036968188,12489.714754366925,5.154127768161432,8228.550290702417,68.86549143056943,2162.5022864795196,60.35364596929966,5937.262622185992,62.938807130538855
Maharashtra,139908.74462233818,95.29299428604659,74835.88151632504,94.54372694114458,199341.46723123462,97.25348532721375,11575.51078639104,7.117232860009637,3793.7866375859653,5.440624170480211,11425.786837042639,5.13228244141791,6988.012630300754,69.76532326785008,2112.907235768256,63.192269642266396,11956.434374296437,59.17221996540447
Dadra and Nagar Haveli and Daman and Diu,16777.59856693806,99.2,2.0,100.0,21.0,99.2,280.52955975296254,6.7110857986518155,544.147186846608,4.075839342883368,5.0,5.922471897241993,4.0,82.92351825518129,0.0,69.15411852507823,897.4763949757596,81.66387157548904
Chhattisgarh,21.0,92.95372609373598,4276.350957092231,88.30607417956517,21.0,90.48251623614618,2058.157663321727,6.877143127964951,1251.9435359567124,7.879130362229795,5765.764051659922,9.675585075360214,4.0,45.22736593319731,436.74822890157577,24.305650104002936,2771.3037111725,44.13687440462337
Maharashtra,159425.14552060235,97.80551826737215,77802.87063799042,96.90977475573733,110386.13930603238,96.92100099903942,10521.902019613142,6.082507318562135,5031.599793961472,4.651571586206454,16537.20441583575,7.368042071346521,6561.560228467317,66.51908633668172,2430.903630464803,58.522934553838795,7566.934720423331,65.86810550260763
Himachal Pradesh,37297.022905278995,99.2,3506.1281126612753,96.14062188043248,16203.313526154338,98.93760363074021,1490.6084756643477,9.199327989777116,187.13770791926999,6.71838716476332,3382.5036725818563,8.08949450016896,4.0,75.64363745506307,501.6728310307523,75.9333498625659,1352.6150791281518,75.39581363260628
Sikkim,46355.35998526004,97.04701038994385,4029.65129299642,96.95275130188178,21.0,98.20436099290433,1044.0304921835743,8.532757048381665,0.0,4.7408837078557005,371.39823815988234,9.383582008988133,4.0,89.85268260798625,0.0,77.26505555306119,1272.6883735253507,90.82057772045563
Nagaland,25376.353951369714,84.0420858822985,11212.517782692952,93.19809150861275,49965.3991332749,84.4839337830787,5.0,6.073071957107473,0.0,6.966001487240471,5.0,4.890594087105449,4.0,51.61400166290801,320.71375151089916,16.26774058929176,4.0,43.251624696774996
Himachal Pradesh,21.0,99.03724465519315,13694.990088249438,96.19024106729341,21.0,99.05056415743061,1529.0957601035796,9.970827665884512,0.0,5.00161002008359,2069.4905249493304,9.926197045503157,1730.8203077927626,73.77807955368922,0.0,77.72681227047568,577.7932158448033,75.77780032673127
Rajasthan,128273.10472859173,91.16083064079126,33760.612285208495,88.27922676284447,110753.77650603025,91.32204907290922,2982.5783925662595,2.3,923.242661100412,3.605030184116726,5107.032063510968,4.739519476508926,2032.4969570247808,64.2249594267322,646.58780993103,44.92524983543201,1938.832445365512,62.28590428923023
Chandigarh,21671.212981410947,94.62415432990267,2.0,72.67282983263135,10638.372923323968,93.89316822185462,3244.4527534921403,8.447116323466416,0.0,11.376189871393622,5.0,9.45987573479606,571.0712821140058,80.6470451766138,0.0,100.0,1439.8568269611749,77.6842011787402
Mizoram,21.0,98.58613053636293,2499.6577143350446,100.0,21.0,98.36687525519608,1226.2409330765636,6.492073305107815,0.0,30.251428831392523,2311.519591621206,7.174376784831267,1678.8970849184234,96.84063470318173,98.82305656058688,95.31901883451317,4.0,97.0
Uttarakhand,71302.83389090898,96.66316790819677,12217.119189432258,92.83596212096992,53684.4064915498,95.30541533347552,6.091775572071356,7.953207293953592,0.0,4.700741908244679,5.0,6.672169419708315,1146.1500336672884,38.0,0.0,51.754651763229504,4.0,43.868375773105846
Kerala,64437.91062138512,94.61728054933877,3613.4764172776117,88.48091950360367,71799.0685783558,93.5371791565764,6623.613377923716,32.9,140.30385443037198,30.329907807544615,7862.388382254748,32.6,5243.93729228462,65.39951706206172,294.6673523524837,60.71285054379688,2801.722707162629,65.1448756687766
Delhi,46166.431121376365,84.93917399815852,10757.141130307617,53.551267742967056,133187.33189440967,80.505299076345,10364.08983306332,7.815805776361382,629.5289982745259,10.834185034551082,9114.831691553876,8.342540983222184,1500.5429298457013,50.96371420593985,0.0,25.912857130563214,4734.406330655609,47.077648957582014
Ladakh,21.0,91.95878034430204,2.0,82.42169269163975,21.0,90.33541336983544,5.0,2.8526476582270215,482.1156972978415,11.440209559125135,5.0,2.5,4.0,83.99013004148264,214.88381031688687,100.0,245.8784811049744,87.88220435925068
Mizoram,21.0,98.979483984751,2.0,100.0,16754.9495960743,98.79650492111098,5281.048938749782,6.48910811426328,0.0,29.73043345795566,5.0,7.224516890667783,4.0,94.60551589132835,146.11170710154923,99.95460651833653,565.7745640921979,97.0
West Bengal,79012.20700004099,92.32861877556545,2.0,81.53434122170064,165920.93599721265,92.31086617226875,16913.089843831905,15.480649652035252,1292.9713637031753,14.196984456397715,15776.252573714753,14.060328083615206,9369.396256785141,76.89264504397688,1120.4503150337002,80.61497267708762,8244.366431090333,76.42454224493254
Jammu & Kashmir,3088.9315515169164,94.58472752830917,2328.007804153568,96.8757668899103,21.0,94.88366656907525,5.0,5.139642656786897,0.0,6.54154279797415,1944.4332144663874,7.2290128459068175,565.9293210488199,50.031241479449164,0.0,78.65410940778565,115.32077256801995,53.43150163341622
West Bengal,110034.40223408368,93.83229727925601,450.06935967333266,81.24927556971652,121660.83719313699,91.43356642308282,13245.935772105604,14.24492943302975,1067.4619694952369,15.50895891384732,15762.833174867163,14.561060032736723,11588.934264879026,77.90337965889101,435.30394741007837,79.71121559975211,9174.091886665783,76.35347470509016
Goa,21.0,97.57664836602531,2.0,72.74830988553445,7065.5104406345445,94.21272194770565,372.28590158943337,19.628766449414705,619.4073992193192,16.1948261113482,260.5247660028782,20.288271838102975,2026.1945239800632,86.89139744778045,125.34805857130166,52.31252187419474,4.0,83.59396704938635
Meghalaya,21.0,77.4725517552718,11963.826374839871,50.0,21.0,76.73697065193385,216.37612700485116,5.033761413873985,590.2809268241174,1.6736680928707348,5.0,5.5750091823780465,2386.2394789340037,68.28812303080271,0.0,75.53905992566031,4.0,65.64679430353614
Manipur,2470.8049797035087,77.08074632000948,2.0,56.35109120710066,21.0,75.30390855378708,5.0,14.011112207195191,628.247241568846,7.890896480667431,1113.0829102704433,13.86074127713243,1081.1453669804741,48.32404152833567,0.0,16.326179443157628,1178.1524134485685,46.29434780248974
Madhya Pradesh,127151.40131720493,88.7694336434712,47144.687154358064,91.50259565298767,183281.48611055742,90.58077070603333,10040.572369555184,5.181286209515638,3317.2519348552228,8.340864483935205,12004.15547301094,6.670423557611397,3074.4024017382194,44.69161730363058,1033.2507578951374,32.1887413491994,4109.746678682902,40.2536505022623
Lakshadweep,7097.653930906686,95.99075041136115,,,21.0,95.21615637362761,1736.597007792839,23.165936457104472,,,5.0,24.338986443337465,4.0,81.74386287892571,,,4.0,81.29546275064818
Assam,42529.73809759607,82.0760866974061,8782.850455140793,82.67109575327603,91970.88884591346,80.57581836679311,2090.228607146693,9.647693372980733,1341.6422263173965,9.186542202343452,2652.775204420268,8.731662885088165,4.0,39.2431198456233,639.5052469391239,29.546124137859877,1082.3623639995085,38.66759040609375
Jammu & Kashmir,27338.601509640346,96.51970837564014,2.0,93.08093111028886,6279.888352265337,95.21638887968976,5.0,7.377121154782565,53.29761071324134,7.759551997421007,2126.1346223599458,7.16072414992173,4.0,52.73194457510104,255.3444289999315,78.6430651780192,970.3328451088628,48.995569660750796
Ladakh,4940.841932819548,91.08681879270182,10319.645093701858,81.3277378330459,21.0,90.56465927938405,5.0,3.6204078768397725,75.4520072610372,12.427072964201262,5.0,2.6145825261529096,4.0,87.18200886697369,131.59558014187945,100.0,30.16479552478409,87.14509919445133
Mizoram,1310.7249379388877,98.04871944592801,2.0,99.74306664976712,42387.340810918606,97.86120515170177,5.0,3.8429020968105743,0.0,29.64270056328468,868.7059956667136,5.782555507988572,4.0,95.86414565536805,257.88102631199365,99.08916451640992,1054.1610181816145,97.0
Jharkhand,25478.26121466846,90.19939554098724,16530.854171816398,82.8140424977556,122434.13963308539,88.70626860007415,5990.122315023539,5.457929037257104,959.384685350421,7.192148673882561,5.0,5.579928029094881,1949.9257686157487,50.701091801671225,438.58636386980845,41.17372924919118,4.0,50.09056121974409
Lakshadweep,21.0,94.8804447901706,,,21.0,95.03663148896356,5.0,23.43025183807331,,,5.0,24.300840490792176,4.0,78.71422011898322,,,4.0,83.15520014126457
Rajasthan,125364.23600227226,91.13830040091754,42668.71921570048,90.61932170720898,192595.29723882754,90.41548412169155,5780.712630534597,2.3,733.7391804234237,3.594505268789241,8262.708586188752,2.8124916314360613,1918.062432441132,63.3856516970724,452.52031739348473,42.74959099779457,3541.0582498507947,61.2941408176305
Odisha,24036.28296582932,96.26099503680916,223.33070115615374,94.69020544672684,5348.387826428792,96.87467116127071,5209.969128433466,7.845231536473358,131.06442684433955,6.622747868379856,1532.3550639431082,7.245687541777695,2397.0964404446913,75.5502160880456,457.0710009792358,68.84021627382296,370.50249192101273,81.6682406636352
Nagaland,21.0,83.54846905927336,837.9494826224632,91.34275712384878,21.0,84.5967647559824,2225.6293043890782,3.9498289360260266,0.0,4.4690515796189025,5.0,4.897255744447305,4.0,52.01251202881912,127.52425699032085,16.305250892361194,4.0,41.84443740940136
Himachal Pradesh,16062.521146049805,98.04093349599768,2.0,98.09366241284646,21.0,98.8027893427605,3568.5634723603785,9.292539613088147,481.0036017925707,6.292573644011593,5.0,9.697780391622382,1602.340039648047,76.78699299007349,254.66286750013643,78.8896996933774,1547.5714440477088,76.93742359439841
Chhattisgarh,112805.2555031025,90.55239135694562,8184.281644420449,90.42199340433713,66778.31566471758,90.64249104322982,5.0,9.744914640505916,927.3333606004455,7.19725477550825,4358.019768150017,8.398936390738976,2879.193840459935,49.73823411194838,0.0,18.61599337421236,4714.957032731408,45.0326625314046
Chhattisgarh,21428.497181432103,91.95439746131062,8816.69452774872,88.78595914158656,34216.14829950764,90.50595148865388,6795.004089189319,8.413112709210905,1206.2266779912643,6.632913512003941,4101.040755729635,9.349541374364247,1258.9465801700137,51.68663266791648,0.0,20.985927500547348,467.02535628657483,41.20970378669028
Rajasthan,124819.66292722679,90.62338851284478,48629.775027005264,89.50869848800205,118793.59101887737,89.8360397347468,345.7446548085554,2.3,1302.4167877938526,2.58753420629818,7222.4699871478515,2.5,772.1817400879838,64.21512235793134,475.28533871900953,43.61899650172639,1667.107497583426,59.87163624930006
Karnataka,65281.845394597214,94.84781364424822,13568.322351552164,89.75058035719647,64486.24699258342,95.03868641023463,10829.283596791745,14.920675167255467,1500.434806471004,9.01282268995736,11074.634702504725,14.148874112248306,7154.640631719819,78.58961955127482,1108.328406061053,77.1376647068027,7113.565071726292,78.15366517542121
Tripura,21.0,94.60636525083557,2.0,83.73849518610699,45499.39911480835,94.30404919091646,2145.391508472175,15.174681093988944,824.2870932777521,16.50649352391262,1033.7249669756811,16.236736902225264,4.0,40.04628307728688,0.0,0.024963204263620222,194.97060068929397,36.884414537340184
Uttarakhand,54467.513616982964,95.58507305092239,2.0,93.0120801799028,79586.8327078921,96.19137074477851,396.03971453525514,6.632763857269929,6.211565717548609,4.453041147601364,5.0,8.419242530896378,1047.6433388693747,38.0,97.83095137103808,52.50352218810439,3281.4807794964236,39.590963075688805
Punjab,31395.933661024817,91.42282809716536,2.0,90.41347343683786,50975.87149362783,91.53755603541816,8691.334537135474,11.95913483734027,1000.2665748130205,7.539057605778799,622.1793436074031,10.125595519345348,1234.5358340645187,46.49013358293424,221.78788550508213,23.922430868597907,4.0,46.03032004768565
Jammu & Kashmir,33655.126599967814,94.89715799665035,2.0,96.36792119963432,21.0,94.27706636424708,5.0,6.8641237185546675,221.27401174530118,7.571109761953039,5.0,6.670628459935593,1003.555729123962,49.453971354019984,261.174326627872,77.36611507017746,4049.158383662667,51.24996346979435
Haryana,128593.91313007142,94.54918191673973,11860.434194829955,92.35306681658511,86070.82167358295,93.10297904598123,4710.683300104557,6.824380385763346,184.5495248048827,5.199347528988777,5674.616932377756,7.464863630236163,4127.061453945675,71.44152940969656,1032.8343448085768,72.49842035785565,6838.191659889633,70.97045904442777
Goa,21.0,99.15867963356907,2.0,72.07277671330397,21.0,94.17739626690752,1960.454220478636,20.770389472909397,328.99791538424023,16.296695660407515,5.0,18.47873729488327,4.0,92.2819621720741,0.0,57.69069846469336,4.0,82.6895071216207
West Bengal,54732.93094727785,93.74719165964953,2.0,82.56839549680173,36960.47577901206,91.42605550304502,9954.829404705142,13.083007394475334,2002.5934552650363,14.443659941248901,15648.670619788792,14.983361990102964,7858.0089773455875,78.55144307376636,499.71388061532326,78.78429078718766,10738.985140814337,76.16129238994932
Jharkhand,21.0,90.36100432035211,6111.044242688991,83.70740926054515,47686.66777693425,88.07566673123121,3842.690809276847,4.2788213352382956,1060.0054257487125,5.412383518042642,5.0,7.703079377567347,2421.452815561088,55.52146644612249,4.408165333457703,38.8186050579588,2625.820695501519,50.3294161710613
Dadra and Nagar Haveli and Daman and Diu,21.0,98.32800856893681,2.0,97.98434417295188,21.0,98.97082086188287,3560.6072680449056,6.690001807340862,434.8648141189937,3.4713611678826406,3001.210734802402,5.407828937289713,1643.4806634426473,84.13909434887088,437.06082436915005,69.83703467595826,3930.4660346088885,78.77310480364105
Tamil Nadu,91304.18169970931,97.3848656353109,1463.6619929538847,91.40138549959052,49481.7952398501,97.5178597981814,17905.086130034033,25.97443257611918,3278.431900092217,23.13424120376138,24612.34897903178,26.789747465793447,21614.291919487943,92.45231664432316,3446.360891684754,86.41209512511338,21962.101980445346,95.11842661397607
Telangana,73663.69701545517,94.62631582243296,11850.265748728707,93.01818226784641,51358.791019088254,92.45560685496073,5888.404864388091,6.089734616939231,347.7584598268629,4.817784602843771,2937.0925668538075,6.599176190196684,2863.5658766865627,82.82171669112947,512.6973830631243,85.48141378962464,3001.4840411737737,83.72921629306764
Arunachal Pradesh,21.0,78.1579296917438,12825.508000483014,50.0,21.0,80.25232067533834,5.0,3.2591170025836207,102.46354808861514,0.6432128663964916,9360.60020576871,2.5,1782.5033456607193,42.70840485014255,,,2460.3480825587567,49.026651548563365
West Bengal,65252.90486266771,91.98651714641359,13703.566272294305,80.30500018674768,110217.7250670924,92.09517399178876,11457.343013599688,13.316520297426745,361.4831121988409,13.453299786009207,13084.752922821195,14.19080638900092,9258.564557186774,78.47853843306409,1197.6221100498847,80.24441175965573,9881.329309919742,78.51859269104636
Maharashtra,128415.61542984183,96.6683345365583,76386.63519941209,94.26624795720863,178927.99059322756,97.02180654591464,12200.520139891403,5.924701433733331,4939.601352054622,6.4022517860022585,13576.958947188823,6.469639513297948,5128.341730049882,67.44180618062043,2555.5378133793424,61.48896660541299,8261.951201295022,64.92953669801435
Gujarat,106739.785055091,96.23390939918313,33741.850527353476,89.70672432521413,77781.75377866776,96.2721768462507,4049.6291799652454,4.903252031832511,2333.2269585376794,3.9783492777891514,7415.252538019998,4.739609529747275,3019.4472231812747,79.5810917445648,1009.3958690429885,76.94897495516915,5221.0369563411205,78.6419748914337
Haryana,49926.64298805978,95.67182520227439,4667.857445007701,90.99686911009137,54003.93545345025,93.52919738675897,4383.870908987801,8.574791630961887,1504.2824391551444,4.103801350681021,9633.394691875823,6.334083774706626,2333.0920125667035,74.01875362142644,258.11275435476045,64.244906478723,3461.7170051796493,73.69232995186253
Manipur,42073.71029745135,76.31092910161678,2.0,55.23015691013338,5326.284183725347,74.3,5.0,14.284882269340827,92.86442499838142,7.4061817672938615,5631.850166611249,14.690687262048165,1507.5969922757201,46.95374402518783,0.0,19.508338903724134,1634.5000657323858,44.114512724874416
Telangana,68241.21899174404,94.34446832456798,10341.2429016067,93.17328413551604,93038.11578844063,94.16430207535484,5.0,6.647762372790439,0.0,5.636023116230931,5873.286491302846,5.449904408148996,2452.638668969315,81.07149074112897,567.8415119030726,82.29832206102624,6211.523675135411,80.82091590164241
Bihar,48509.21347108606,66.81263998153653,73716.01828744088,88.62303647865242,129050.51460401215,77.63157220673435,6759.259102207445,5.523705689178004,3878.880918518883,3.9695421746123944,10033.222695266122,5.111221058700122,530.480370892531,49.3302035178255,666.2395007669231,21.822395015007675,428.0758911312587,35.652422222329264
Rajasthan,124897.75142252083,90.80215144596167,40228.77993458051,89.43332293224047,175016.9977388092,89.72451179468726,2971.3760404320738,2.7131597339177635,459.87749422076627,5.528912936166449,1891.9081485265174,4.454758384471928,2050.1989172498415,61.94874521358297,474.7056807739041,48.52858544744623,1678.0611824440662,60.06202057573881
Delhi,79257.16903576536,84.06542331683588,14388.29170504311,55.86098783794498,74760.1885409138,81.90655347910743,5763.483756656882,8.477466613308287,262.61984390625713,11.170972090879731,3203.8739689269814,9.301234550792923,1595.515084102788,51.40336246861825,196.30768437564686,31.959002126304256,1631.6812518781746,48.7905676782765
Arunachal Pradesh,2355.6861877038546,77.63568342529814,2.0,50.0,57795.02271674368,78.41294521141168,1417.0696902096781,3.1049710366350807,806.5696071897398,0.0,5.0,3.0273810965829995,2329.5477496969174,48.0197897705321,,,2155.2662457325073,46.769267747727994
Himachal Pradesh,47713.8951556418,98.6322039407943,1169.843497482574,98.03252037337693,39334.9659831371,98.96252720021174,5.0,8.503105060556345,398.805269556229,5.801062987622526,5.0,9.204169839254085,2024.1673930669958,77.59442416406927,0.0,77.0999477587047,4.0,77.09298771221918
Andaman & Nicobar Islands,21.0,95.42829620535878,2.0,74.07654215606993,21.0,95.27100604529625,5.0,17.923388796501555,0.0,32.78669042130054,1844.4692589181761,17.398637275814067,513.6797222709988,67.27313784268415,88.29430335890274,100.0,299.6349906743767,67.82786904077363
Meghalaya,24865.35197668418,80.07728553544182,8903.427889037599,54.31377286970348,1044.0847109634256,77.68663911831284,2193.131406754471,6.0695152522601825,0.0,3.22418193461689,5.0,4.542779407313723,3535.2548485426305,62.52695217654582,0.0,75.35774388364995,4.0,62.908896145833786
Bihar,33463.704976555964,66.1,65864.62119872708,87.02793312525033,170755.90740293692,77.11786669264261,5.0,7.908335346858008,3648.9646698877655,3.7887574222371008,5373.375215772169,4.30399353218486,1527.708140762851,48.810492009879276,740.2388042872725,18.281775649375174,2657.036584718991,35.56779696661513
Andaman & Nicobar Islands,21.0,96.03831087344392,2.0,73.03827743293444,21.0,95.14342996212262,156.88424499633624,19.868778179369,246.45495931994233,32.9402783999315,1582.0492045222816,18.929501593226785,220.35408114318855,71.61746915973835,61.62789179978427,100.0,1999.42617025326,72.02066758794147
Mizoram,21.0,98.88949376466691,11741.25617292334,99.54674690803377,36756.37021356905,97.9889046878908,1308.808530042396,5.822403937131938,0.0,29.516598429328003,4639.170253101959,6.209104392501919,4.0,96.40225201097519,363.35781216128214,100.0,4.0,97.0
West Bengal,95349.76748948623,93.66157557044485,9930.707039098532,81.02666336736013,92848.84255193258,92.75475062548702,11463.656459767766,15.845868056925427,2244.2326686308293,13.768339049782302,19394.627583918897,13.947392192761589,9419.642024230387,76.20088984388529,694.2438038241202,75.51852542057662,9104.80816013294,78.61061264183323
Bihar,21.0,66.1,77351.6927125854,87.8886253343221,80821.68114479302,76.72335712138924,3471.155564299347,7.15041656754044,3587.0699455748554,5.835216015405646,10951.983741528644,5.615650619279472,2724.8187393231647,46.626436607298395,705.3484880349712,22.246704169960612,3379.5824250226196,35.579922928930365
Karnataka,25578.960831050266,97.14607786980753,7326.13369002063,90.48940954659372,72283.93540569622,95.10340806273322,8218.605055644872,15.750252227379335,828.6416841664964,8.873063381073399,9908.485246241346,14.855636119864155,9576.126158501724,77.24754539514315,1135.4849402789341,70.19863898852167,6734.587452939479,74.96175536174752
Puducherry,1777.7014522633146,98.9488306423558,15780.685098444346,100.0,21.0,99.2,1912.4357859453191,29.0270483757668,531.6512236747834,0.31428650045434525,2838.270550614263,30.353701592293636,1327.1296935599535,94.54367993695409,,,1142.0532528572116,94.75304849656303
